Gene,Module
AABR07025295.1,c1_16
AABR07025295.1,c1_505
AABR07020879.1,c1_237
AABR07020879.1,c1_54
AABR07020879.1,c1_8
AABR07020879.1,c1_2
NCEH1,c1_586
NCEH1,c1_968
NCEH1,c1_17
NCEH1,c1_186
NCEH1,c1_4
RPL21,c1_551
RPL21,c1_17
RPL21,c1_184
RPL21,c1_4
RTN3,c1_3
RTN3,c1_15
RTN3,c1_100
RTN3,c1_339
GALNT14,c1_174
GALNT14,c1_4
GALNT14,c1_522
GALNT14,c1_16
NR2F2,c1_4
NR2F2,c1_1147
NR2F2,c1_961
NR2F2,c1_584
NR2F2,c1_17
NR2F2,c1_186
NLGN1,c1_969
NLGN1,c1_17
NLGN1,c1_186
NLGN1,c1_1150
NLGN1,c1_4
NLGN1,c1_586
STMN1,c1_528
STMN1,c1_4
STMN1,c1_175
STMN1,c1_16
LOC687780,c1_184
LOC687780,c1_934
LOC687780,c1_557
LOC687780,c1_4
LOC687780,c1_17
NKTR,c1_5
NKTR,c1_19
NKTR,c1_189
CEP295,c1_29
CEP295,c1_5
MAG,c1_1070
MAG,c1_667
MAG,c1_3
MAG,c1_79
MAG,c1_14
MAG,c1_261
CUL3,c1_549
CUL3,c1_4
CUL3,c1_184
CUL3,c1_17
GPR6,c1_17
GPR6,c1_4
GPR6,c1_1165
GPR6,c1_996
GPR6,c1_598
GPR6,c1_187
GNA12,c1_262
GNA12,c1_14
GNA12,c1_3
GNA12,c1_79
KCNH1,c1_310
KCNH1,c1_15
KCNH1,c1_729
KCNH1,c1_3
KCNH1,c1_92
KCNJ12,c1_186
KCNJ12,c1_17
KCNJ12,c1_4
KCNJ12,c1_587
CHRM3,c1_4
CHRM3,c1_16
CHRM3,c1_502
CHRM3,c1_867
CHRM3,c1_171
RPL18A,c1_17
RPL18A,c1_4
RPL18A,c1_184
RPL18A,c1_936
RPL18A,c1_558
PRKAG2,c1_15
PRKAG2,c1_3
PRKAG2,c1_733
PRKAG2,c1_95
PRKAG2,c1_324
ANK2,c1_103
ANK2,c1_752
ANK2,c1_354
ANK2,c1_3
ANK2,c1_15
PBXIP1,c1_645
PBXIP1,c1_41
PBXIP1,c1_223
PBXIP1,c1_2
PBXIP1,c1_6
SYN2,c1_107
SYN2,c1_3
SYN2,c1_773
SYN2,c1_15
SYN2,c1_369
BIRC6,c1_443
BIRC6,c1_141
BIRC6,c1_3
BIRC6,c1_15
CALB1,c1_188
CALB1,c1_608
CALB1,c1_4
CALB1,c1_1021
CALB1,c1_17
GPR88,c1_187
GPR88,c1_4
GPR88,c1_1001
GPR88,c1_599
GPR88,c1_17
NPPA,c1_515
NPPA,c1_16
NPPA,c1_877
NPPA,c1_4
NPPA,c1_173
AP2M1,c1_124
AP2M1,c1_406
AP2M1,c1_3
AP2M1,c1_15
PLP1,c1_14
PLP1,c1_3
PLP1,c1_667
PLP1,c1_261
PLP1,c1_1070
PLP1,c1_79
SCN8A,c1_316
SCN8A,c1_3
SCN8A,c1_15
SCN8A,c1_93
RGS9,c1_187
RGS9,c1_17
RGS9,c1_1182
RGS9,c1_999
RGS9,c1_599
RGS9,c1_1169
RGS9,c1_4
PAFAH1B1,c1_340
PAFAH1B1,c1_100
PAFAH1B1,c1_3
PAFAH1B1,c1_15
ADORA2A,c1_187
ADORA2A,c1_598
ADORA2A,c1_17
ADORA2A,c1_994
ADORA2A,c1_4
ATP6AP2,c1_100
ATP6AP2,c1_339
ATP6AP2,c1_3
ATP6AP2,c1_15
FAM117B,c1_930
FAM117B,c1_184
FAM117B,c1_4
FAM117B,c1_555
FAM117B,c1_17
GABBR2,c1_186
GABBR2,c1_959
GABBR2,c1_1143
GABBR2,c1_582
GABBR2,c1_17
GABBR2,c1_4
GLCE,c1_1157
GLCE,c1_186
GLCE,c1_17
GLCE,c1_4
GLCE,c1_590
GLCE,c1_982
SV2A,c1_15
SV2A,c1_112
SV2A,c1_385
SV2A,c1_3
FGFR3,c1_81
FGFR3,c1_14
FGFR3,c1_3
ISLR,c1_6
ISLR,c1_40
ISLR,c1_2
ZFP706,c1_1049
ZFP706,c1_188
ZFP706,c1_618
ZFP706,c1_17
ZFP706,c1_4
PTPN4,c1_4
PTPN4,c1_17
PTPN4,c1_184
PTPN4,c1_563
CSF1R,c1_3
CSF1R,c1_90
CSF1R,c1_15
SEMA7A,c1_815
SEMA7A,c1_3
SEMA7A,c1_411
SEMA7A,c1_15
SEMA7A,c1_125
AXL,c1_3
AXL,c1_14
AXL,c1_81
AXL,c1_277
CACNA1E,c1_93
CACNA1E,c1_3
CACNA1E,c1_15
CACNA1E,c1_316
TANC2,c1_306
TANC2,c1_3
TANC2,c1_89
TANC2,c1_15
TANC2,c1_719
GPC1,c1_108
GPC1,c1_373
GPC1,c1_15
GPC1,c1_3
LMBRD2,c1_121
LMBRD2,c1_15
LMBRD2,c1_3
PJA2,c1_756
PJA2,c1_1091
PJA2,c1_358
PJA2,c1_15
PJA2,c1_104
PJA2,c1_3
LAMA2,c1_221
LAMA2,c1_40
LAMA2,c1_636
LAMA2,c1_2
LAMA2,c1_6
